"name","likelihood_ratio_test","p_value"
"f1x4_hum_alt_TAS1R1",1.56735999999728,0.21059082026659
"f1x4_pan_alt_TAS1R1",0.000197999997908482,0.988773139591381
"fmutsel_hum_alt_TAS1R1",1.44855999999709,0.228759153286654
"fmutsel_pan_alt_TAS1R1",0.0015739999980724,0.968353294377222
"f1x4_hum_alt_TAS1R3",1.11912800000209,1
"f1x4_pan_alt_TAS1R3",7.74123800000234,0.00539737849652644
"fmutsel_hum_alt_TAS1R3",1.12016399999993,0.28988314324564
"fmutsel_pan_alt_TAS1R3",7.65810600000259,0.00565178055323867
